Provider, Version, Architecture
centos,8,aarch64
centos,8,ppc64le
centos,8,x86_64
centos,7,x86_64
cirros,0.5.1,arm
cirros,0.5.1,aarch64
cirros,0.5.1,i386
cirros,0.5.1,ppc64
cirros,0.5.1,ppc64le
cirros,0.5.1,powerpc
cirros,0.5.1,x86_64
cirros,0.5.0,arm
cirros,0.5.0,aarch64
cirros,0.5.0,i386
cirros,0.5.0,ppc64
cirros,0.5.0,ppc64le
cirros,0.5.0,powerpc
cirros,0.5.0,x86_64
cirros,0.4.0,arm
cirros,0.4.0,aarch64
cirros,0.4.0,i386
cirros,0.4.0,ppc64
cirros,0.4.0,ppc64le
cirros,0.4.0,powerpc
cirros,0.4.0,x86_64
debian,9.12.2-20200515,arm64
debian,9.12.2-20200515,amd64
debian,10.4.1-20200515,arm64
debian,10.4.1-20200515,amd64
fedora,31,aarch64
fedora,31,ppc64le
fedora,31,s390x
fedora,31,x86_64
fedora,30,aarch64
fedora,30,x86_64
ubuntu,18.04,aarch64
ubuntu,18.04,i386
ubuntu,18.04,ppc64el
ubuntu,18.04,s390x
ubuntu,18.04,x86_64
ubuntu,19.10,aarch64
ubuntu,19.10,i386
ubuntu,19.10,ppc64el
ubuntu,19.10,s390x
ubuntu,19.10,x86_64
opensuse,15.2,x86_64
opensuse,15.1,aarch64
opensuse,15.1,x86_64
opensuse,42.3,x86_64
